                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.0018,                0.49129,                 1.0141,                0.97933,                      1,                  0.995,                0.61701,                 1.4542,                0.48121,                 1.2962,             0.00082283,             0.00082283,             0.00082283
                    134,                 1.0539,                0.51739,                 1.0805,                0.96758,                0.97321,                  0.995,                0.57261,                 1.6203,                0.54727,                 1.4287,             0.00082063,             0.00082063,             0.00082063
                    135,                 1.0864,                0.55005,                 1.0656,                0.88078,                0.97508,                  0.995,                 0.5959,                 1.5799,                0.57705,                 1.3906,             0.00081843,             0.00081843,             0.00081843
                    136,                0.98494,                0.55152,                 1.0323,                0.99286,                      1,                  0.995,                0.63175,                 1.4639,                0.45615,                 1.3026,             0.00081623,             0.00081623,             0.00081623
                    137,                 1.0799,                0.49316,                 1.0497,                0.99286,                      1,                  0.995,                0.63175,                 1.4639,                0.45615,                 1.3026,             0.00081403,             0.00081403,             0.00081403
                    138,                 1.0575,                0.51529,                 1.0893,                0.97451,                0.97379,                  0.995,                0.65992,                 1.3124,                0.45888,                 1.2109,             0.00081183,             0.00081183,             0.00081183
                    139,                 1.0411,                0.49239,                 1.0397,                0.98099,                0.97361,                  0.995,                0.66744,                 1.2864,                0.45522,                 1.2082,             0.00080963,             0.00080963,             0.00080963
                    140,                 1.0239,                0.52063,                  1.046,                  0.982,                      1,                  0.995,                0.63936,                 1.3797,                0.46072,                 1.2476,             0.00080743,             0.00080743,             0.00080743
                    141,                  1.006,                0.48737,                 1.0607,                  0.982,                      1,                  0.995,                0.63936,                 1.3797,                0.46072,                 1.2476,             0.00080523,             0.00080523,             0.00080523
                    142,                 1.0472,                0.52928,                 1.0592,                0.98071,                0.99469,                  0.995,                 0.6243,                 1.4461,                0.46423,                 1.2589,             0.00080303,             0.00080303,             0.00080303
                    143,                0.98912,                0.51834,                 1.0144,                 0.9838,                0.99134,                  0.995,                0.59918,                  1.544,                0.49173,                 1.3245,             0.00080083,             0.00080083,             0.00080083
                    144,                 1.0799,                 0.5537,                 1.0791,                0.97122,                0.98882,                  0.995,                0.60263,                 1.5362,                0.49153,                 1.3243,             0.00079863,             0.00079863,             0.00079863
                    145,                0.98228,                0.49595,                 1.0571,                0.97122,                0.98882,                  0.995,                0.60263,                 1.5362,                0.49153,                 1.3243,             0.00079643,             0.00079643,             0.00079643
                    146,                 1.0044,                0.49788,                 1.0287,                 0.9626,                 0.9872,                  0.995,                0.62111,                 1.4335,                 0.4726,                 1.2657,             0.00079423,             0.00079423,             0.00079423
                    147,                 1.0221,                0.52806,                 1.0495,                0.95441,                0.99268,                  0.995,                0.65563,                 1.3526,                0.45829,                 1.2269,             0.00079203,             0.00079203,             0.00079203
                    148,                  1.049,                0.51938,                 1.0313,                0.97418,                0.96231,                  0.995,                0.64067,                  1.429,                0.48152,                 1.2814,             0.00078983,             0.00078983,             0.00078983
